k,alpha,jacobian_sr,stable
0.05,0.05,0.07467959439773336,1
0.05,0.0604,0.072125555059434,1
0.05,0.0708,0.06958602969645476,1
0.05,0.0812,0.0670607209110711,1
0.05,0.0917,0.06454932694957022,1
0.05,0.1021,0.06205154273121576,1
0.05,0.1125,0.05956706082860011,1
0.05,0.1229,0.057547334715997045,1
0.05,0.1333,0.061292838576445394,1
0.05,0.1438,0.06503883939310551,1
0.05,0.1542,0.0687852585677627,1
0.05,0.1646,0.07253203332931404,1
0.05,0.175,0.07627911292511652,1
0.05,0.1854,0.08002645586515296,1
0.05,0.1958,0.08377402789356522,1
0.05,0.2062,0.08752180047244593,1
0.05,0.2167,0.09126974963270204,1
0.05,0.2271,0.09501785509208704,1
0.05,0.2375,0.09876609957047525,1
0.05,0.2479,0.1025144682526511,1
0.05,0.2583,0.10626294836274691,1
0.05,0.2688,0.11001152882410628,1
0.05,0.2792,0.11376019998517459,1
0.05,0.2896,0.1175089533969125,1
0.05,0.3,0.12125778163073964,1
0.0625,0.05,0.09643174748879722,1
0.0625,0.0604,0.09386200897862854,1
0.0625,0.0708,0.09130415229520777,1
0.0625,0.0812,0.08875799156492893,1
0.0625,0.0917,0.08622333793318546,1
0.0625,0.1021,0.08370000001137107,1
0.0625,0.1125,0.08118778431058327,1
0.0625,0.1229,0.07868649566055673,1
0.0625,0.1333,0.07619593761258153,1
0.0625,0.1438,0.07371591282536277,1
0.0625,0.1542,0.07212143019896194,1
0.0625,0.1646,0.07586690282083493,1
0.0625,0.175,0.07961278398049505,1
0.0625,0.1854,0.08335902039548183,1
0.0625,0.1958,0.08710556771258063,1
0.0625,0.2062,0.09085238870449115,1
0.0625,0.2167,0.09459945188809463,1
0.0625,0.2271,0.09834673045330897,1
0.0625,0.2375,0.10209420142379413,1
0.0625,0.2479,0.1058418449928428,1
0.0625,0.2583,0.10958964399311576,1
0.0625,0.2688,0.11333758346969723,1
0.0625,0.2792,0.11708565033365936,1
0.0625,0.2896,0.1208338330789275,1
0.0625,0.3,0.12458212154931454,1
0.075,0.05,0.11819545912237792,1
0.075,0.0604,0.11561507540648501,1
0.075,0.0708,0.11304474030644399,1
0.075,0.0812,0.11048432724746796,1
0.075,0.0917,0.10793370762868884,1
0.075,0.1021,0.10539275104548494,1
0.075,0.1125,0.10286132550735433,1
0.075,0.1229,0.1003392976507389,1
0.075,0.1333,0.0978265329462715,1
0.075,0.1438,0.09532289589997284,1
0.075,0.1542,0.09282825024799216,1
0.075,0.1646,0.09034245914453572,1
0.075,0.175,0.08786538534269192,1
0.075,0.1854,0.08669552646914873,1
0.075,0.1958,0.09044097790090591,1
0.075,0.2062,0.09418677611715066,1
0.075,0.2167,0.09793288263750544,1
0.075,0.2271,0.10167926450384797,1
0.075,0.2375,0.10542589331948635,1
0.075,0.2479,0.10917274448294431,1
0.075,0.2583,0.11291979657173358,1
0.075,0.2688,0.1166670308428381,1
0.075,0.2792,0.12041443082483395,1
0.075,0.2896,0.12416198198256326,1
0.075,0.3,0.12790967143969068,1
0.0875,0.05,0.13996586008194326,1
0.0875,0.0604,0.1373777866527296,1
0.0875,0.0708,0.13479841480906576,1
0.0875,0.0812,0.13222765303332476,1
0.0875,0.0917,0.12966540839375973,1
0.0875,0.1021,0.12711158666666694,1
0.0875,0.1125,0.12456609245682063,1
0.0875,0.1229,0.12202882931592204,1
0.0875,0.1333,0.11949969985881409,1
0.0875,0.1438,0.11697860587724618,1
0.0875,0.1542,0.1144654484509823,1
0.0875,0.1646,0.11196012805607632,1
0.0875,0.175,0.10946254467015168,1
0.0875,0.1854,0.10697259787454481,1
0.0875,0.1958,0.10449018695319362,1
0.0875,0.2062,0.10201521098816693,1
0.0875,0.2167,0.10126962318676944,1
0.0875,0.2271,0.10501505930061929,1
0.0875,0.2375,0.1087607966434278,1
0.0875,0.2479,0.1125068061292838,1
0.0875,0.2583,0.11625306232205578,1
0.0875,0.2688,0.11999954287758965,1
0.0875,0.2792,0.12374622808557997,1
0.0875,0.2896,0.12749310049086027,1
0.0875,0.3,0.13124014457844935,1
0.1,0.05,0.16174047817128478,1
0.1,0.0604,0.1591465911572457,1
0.1,0.0708,0.1565603752797567,1
0.1,0.0812,0.15398176138701444,1
0.1,0.0917,0.15141067930956797,1
0.1,0.1021,0.14884705793270978,1
0.1,0.1125,0.14629082526813464,1
0.1,0.1229,0.14374190852471463,1
0.1,0.1333,0.14120023417829233,1
0.1,0.1438,0.13866572804036242,1
0.1,0.1542,0.13613831532555687,1
0.1,0.1646,0.13361792071782083,1
0.1,0.175,0.13110446843520537,1
0.1,0.1854,0.12859788229318675,1
0.1,0.1958,0.12609808576645748,1
0.1,0.2062,0.12360500204910085,1
0.1,0.2167,0.12111855411312236,1
0.1,0.2271,0.1186386647652644,1
0.1,0.2375,0.11616525670208054,1
0.1,0.2479,0.11584372018298897,1
0.1,0.2583,0.11958914470739451,1
0.1,0.2688,0.12333483547466577,1
0.1,0.2792,0.1270807697310261,1
0.1,0.2896,0.1308269272592977,1
0.1,0.3,0.1345732900332692,1
0.1125,0.05,0.18351792536368355,1
0.1125,0.0604,0.1809194895772375,1
0.1125,0.0708,0.17832791169980516,1
0.1125,0.0812,0.1757431376885501,1
0.1125,0.0917,0.1731651127472136,1
0.1125,0.1021,0.17059378137163117,1
0.1125,0.1125,0.1680290873948998,1
0.1125,0.1229,0.16547097403212974,1
0.1125,0.1333,0.1629193839247201,1
0.1125,0.1438,0.16037425918409343,1
0.1125,0.1542,0.1578355414348429,1
0.1125,0.1646,0.1553031718572267,1
0.1125,0.175,0.15277709122897354,1
0.1125,0.1854,0.1502572399663446,1
0.1125,0.1958,0.1477435581644147,1
0.1125,0.2062,0.1452359856365325,1
0.1125,0.2167,0.1427344619529304,1
0.1125,0.2271,0.14023892647843753,1
0.1125,0.2375,0.13774931840929297,1
0.1125,0.2479,0.13526557680900636,1
0.1125,0.2583,0.13278764064326865,1
0.1125,0.2688,0.1303154488138752,1
0.1125,0.2792,0.13041781736442656,1
0.1125,0.2896,0.13416323281432377,1
0.1125,0.3,0.13790888679700192,1
0.125,0.05,0.20529736237357693,1
0.125,0.0604,0.20269527067316262,1
0.125,0.0708,0.20009937898606206,1
0.125,0.0812,0.19750964394019818,1
0.125,0.0917,0.1949260215915732,1
0.125,0.1021,0.1923484674542696,1
0.125,0.1125,0.1897769365302815,1
0.125,0.1229,0.18721138333913134,1
0.125,0.1333,0.18465176194724298,1
0.125,0.1438,0.18209802599703387,1
0.125,0.1542,0.1795501287356982,1
0.125,0.1646,0.17700802304364388,1
0.125,0.175,0.17447166146257048,1
0.125,0.1854,0.17194099622313255,1
0.125,0.1958,0.1694159792722003,1
0.125,0.2062,0.16689656229966018,1
0.125,0.2167,0.1643826967647606,1
0.125,0.2271,0.16187433392195658,1
